Artist: 24kGoldn, Song(s): Mood (feat. Iann Dior)
Artist: 6ix9ine, Song(s): GOOBA
Artist: Anitta, Song(s): Me Gusta (with Cardi B & Myke Towers)
Artist: Anuel AA, Song(s): Hasta Que Dios Diga
Artist: Ariana Grande, Song(s): 7 rings | Stuck with U (with Justin Bieber)
Artist: Arizona Zervas, Song(s): ROXANNE
Artist: Ashnikko, Song(s): Daisy
Artist: Ava Max, Song(s): Sweet but Psycho | Who's Laughing Now | Kings & Queens
Artist: Aya Nakamura, Song(s): Djadja (feat. Maluma) - Remix
Artist: Bad Bunny, Song(s): Safaera | Yo Perreo Sola
Artist: BANNERS, Song(s): Someone To You
Artist: Bea Miller, Song(s): feel something
Artist: BENEE, Song(s): Supalonely
Artist: Big Sean, Song(s): Wolves (feat. Post Malone)
Artist: Billie Eilish, Song(s): when the party's over | my future | everything i wanted | lovely (with Khalid) | bad guy
Artist: Black Eyed Peas, Song(s): MAMACITA
Artist: blackbear, Song(s): hot girl bummer
Artist: BLACKPINK, Song(s): How You Like That | Ice Cream (with Selena Gomez)
Artist: BTS, Song(s): Boy With Luv (feat. Halsey) | Dynamite
Artist: BØRNS, Song(s): Electric Love
Artist: Calvin Harris, Song(s): Over Now (with The Weeknd)
Artist: Camilo, Song(s): El Mismo Aire - con Pablo Alborán | Favorito
Artist: Cardi B, Song(s): WAP (feat. Megan Thee Stallion)
Artist: Chris Brown, Song(s): No Guidance (feat. Drake) | Go Crazy
Artist: Clean Bandit, Song(s): Tick Tock (feat. 24kGoldn)
Artist: Conan Gray, Song(s): Heather
Artist: Curtis Waters, Song(s): Stunnin' (feat. Harm Franklin)
Artist: DaBaby, Song(s): ROCKSTAR (feat. Roddy Ricch)
Artist: Daddy Yankee, Song(s): Don Don
Artist: Dalex, Song(s): +Linda
Artist: Damso, Song(s): DEUX TOILES DE MER | BXL ZOO
Artist: Dan + Shay, Song(s): 10,000 Hours (with Justin Bieber)
Artist: Dean Lewis, Song(s): Be Alright
Artist: DJ Khaled, Song(s): GREECE (feat. Drake) | POPSTAR (feat. Drake)
Artist: Doja Cat, Song(s): Say So
Artist: Don Toliver, Song(s): After Party
Artist: Drake, Song(s): Chicago Freestyle (feat. Giveon) | Toosie Slide | Laugh Now Cry Later (feat. Lil Durk)
Artist: Dua Lipa, Song(s): Physical | Break My Heart | Don't Start Now
Artist: Earth, Wind & Fire, Song(s): September
Artist: Ed Sheeran, Song(s): Beautiful People (feat. Khalid) | Shape of You | Perfect | I Don't Care (with Justin Bieber)
Artist: Eminem, Song(s): Godzilla (feat. Juice WRLD)
Artist: Farruko, Song(s): La Tóxica
Artist: Feid, Song(s): PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix
Artist: Future, Song(s): Life Is Good (feat. Drake)
Artist: Gunna, Song(s): DOLLAZ ON MY HEAD (feat. Young Thug)
Artist: Halsey, Song(s): Without Me
Artist: Harry Nach, Song(s): Tak Tiki Tak
Artist: Harry Styles, Song(s): Falling | Adore You | Watermelon Sugar
Artist: Hozier, Song(s): Take Me To Church
Artist: Imagine Dragons, Song(s): Believer
Artist: Internet Money, Song(s): Blastoff (feat. Juice Wrld & Trippie Redd) | Lemonade (feat. Gunna, Don Toliver & NAV)
Artist: J Balvin, Song(s): Rojo | Azul | UN DIA (ONE DAY) (Feat. Tainy)
Artist: Jack Harlow, Song(s): WHATS POPPIN | WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix
Artist: James Arthur, Song(s): Say You Won't Let Go
Artist: Jason Derulo, Song(s): Take You Dancing
Artist: Jawsh 685, Song(s): Savage Love (Laxed - Siren Beat)
Artist: Jay Wheeler, Song(s): La Curiosidad
Artist: Jerry Di, Song(s): Mi Cuarto
Artist: Jhay Cortez, Song(s): CÓMO SE SIENTE - Remix
Artist: Joel Corry, Song(s): Head & Heart (feat. MNEK)
Artist: John Legend, Song(s): All of Me
Artist: Jonas Esticado, Song(s): Investe Em Mim
Artist: JP Saxe, Song(s): If the World Was Ending - feat. Julia Michaels
Artist: Juice WRLD, Song(s): Conversations | Righteous | Hate The Other Side (with Marshmello & The Kid Laroi) | All Girls Are The Same | Robbery | Lucid Dreams | Smile (with The Weeknd) | Wishing Well | Come & Go (with Marshmello)
Artist: Jul, Song(s): Bande organisée
Artist: Justin Bieber, Song(s): Intentions (feat. Quavo) | Holy (feat. Chance The Rapper)
Artist: Justin Quiles, Song(s): Jeans
Artist: Kane Brown, Song(s): Be Like That - feat. Swae Lee & Khalid
Artist: KAROL G, Song(s): Tusa | Ay, DiOs Mío!
Artist: Kendrick Lamar, Song(s): Money Trees
Artist: KHEA, Song(s): Ayer Me Llamó Mi Ex (feat. Lenny Santos)
Artist: Kina, Song(s): Get You The Moon (feat. Snøw)
Artist: Kygo, Song(s): Hot Stuff | Lose Somebody
Artist: Labrinth, Song(s): Still Don't Know My Name
Artist: Lady Gaga, Song(s): Shallow | Rain On Me (with Ariana Grande)
Artist: Lele Pons, Song(s): Se Te Nota (with Guaynaa)
Artist: Lewis Capaldi, Song(s): Bruises | Before You Go | Someone You Loved
Artist: Lil Mosey, Song(s): Blueberry Faygo
Artist: Lil Peep, Song(s): Star Shopping
Artist: Lil Tecca, Song(s): Dolly (with Lil Uzi Vert)
Artist: Machine Gun Kelly, Song(s): my ex's best friend (with blackbear)
Artist: Maluma, Song(s): Madrid | Parce (feat. Justin Quiles) | Hawái
Artist: Manuel Turizo, Song(s): Quiéreme Mientras Se Pueda
Artist: Maroon 5, Song(s): Memories
Artist: Marshmello, Song(s): Happier | Be Kind (with Halsey) | OK Not To Be OK
Artist: Master KG, Song(s): Jerusalema (feat. Nomcebo Zikode)
Artist: MEDUZA, Song(s): Lose Control
Artist: Melanie Martinez, Song(s): Play Date
Artist: Miley Cyrus, Song(s): Midnight Sky
Artist: Money Man, Song(s): 24 (feat. Lil Baby)
Artist: Niack, Song(s): Oh Juliana
Artist: Nio Garcia, Song(s): La Jeepeta - Remix
Artist: Noah Cyrus, Song(s): July
Artist: Ofenbach, Song(s): Head Shoulders Knees & Toes (feat. Norma Jean Martine)
Artist: Ozuna, Song(s): Caramelo - Remix | Despeinada | Una Locura | Caramelo
Artist: Passenger, Song(s): Let Her Go
Artist: Polo G, Song(s): 21 | Martin & Gina
Artist: Pop Smoke, Song(s): Hello (feat. A Boogie Wit da Hoodie) | Got It On Me | Dior | What You Know Bout Love | The Woo (feat. 50 Cent & Roddy Ricch) | Mood Swings (feat. Lil Tjay) | For The Night (feat. Lil Baby & DaBaby)
Artist: Post Malone, Song(s): rockstar (feat. 21 Savage) | Sunflower - Spider-Man: Into the Spider-Verse | Circles
Artist: Powfu, Song(s): death bed (coffee for your head)
Artist: Queen, Song(s): Bohemian Rhapsody - 2011 Mix
Artist: Rauw Alejandro, Song(s): Elegí (feat. Dímelo Flow) | Tattoo - Remix with Camilo
Artist: Regard, Song(s): Secrets | Ride It
Artist: Ritt Momney, Song(s): Put Your Records On
Artist: Roddy Ricch, Song(s): The Box
Artist: ROSAL�?A, Song(s): TKN (feat. Travis Scott)
Artist: SAINt JHN, Song(s): Roses - Imanbek Remix
Artist: salem ilese, Song(s): Mad at Disney
Artist: Sam Smith, Song(s): Diamonds
Artist: Saweetie, Song(s): Tap In
Artist: Sech, Song(s): Relación | Relación - Remix
Artist: Shawn Mendes, Song(s): Señorita
Artist: StaySolidRocky, Song(s): Party Girl
Artist: Super Yei, Song(s): Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)
Artist: Surf Mesa, Song(s): ily (i love you baby) (feat. Emilee)
Artist: Surfaces, Song(s): Sunday Best
Artist: Tainy, Song(s): Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie
Artist: Tame Impala, Song(s): The Less I Know The Better
Artist: Tate McRae, Song(s): you broke me first
Artist: Taylor Swift, Song(s): exile (feat. Bon Iver) | cardigan
Artist: The Chainsmokers, Song(s): Something Just Like This
Artist: The Kid LAROI, Song(s): GO (feat. Juice WRLD)
Artist: The Neighbourhood, Song(s): Sweater Weather
Artist: THE SCOTTS, Song(s): THE SCOTTS
Artist: The Weeknd, Song(s): In Your Eyes | Blinding Lights
Artist: Tones And I, Song(s): Dance Monkey
Artist: Topic, Song(s): Breaking Me
Artist: Travis Scott, Song(s): SICKO MODE | HIGHEST IN THE ROOM | goosebumps
Artist: Trevor Daniel, Song(s): Falling
Artist: Trueno, Song(s): Mamichula - con Nicki Nicole
Artist: Vedo, Song(s): You Got It
Artist: Wallows, Song(s): Are You Bored Yet? (feat. Clairo)
Artist: WhoHeem, Song(s): Lets Link
Artist: XXXTENTACION, Song(s): SAD! | Jocelyn Flores | Moonlight
